-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.38%     188.880ms         1.58%     779.267ms     269.829us       10.999s        27.20%       11.009s       3.812ms          2888  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       10.939s        27.05%       10.939s      20.408ms           536  
                                           _down_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       10.118s        25.02%       10.118s     121.905ms            83  
                                        _gate_up_kernel         0.00%       0.000us         0.00%       0.000us       0.000us        7.970s        19.71%        7.970s      96.028ms            83  
                              vllm::sparse_attn_indexer         0.26%     126.394ms        11.15%        5.482s     130.515ms       0.000us         0.00%        3.819s      90.938ms            42  
                   _deepseek_v4_sm12x_fp8_einsum_kernel         0.00%       0.000us         0.00%       0.000us       0.000us        3.134s         7.75%        3.134s      12.195ms           257  
                                        _C::marlin_gemm        -0.17%  -82725.510us         0.97%     475.165ms     358.075us        1.870s         4.62%        2.135s       1.609ms          1327  
void marlin::Marlin<1125899906909960l, 2814749767172...         0.00%       0.000us         0.00%       0.000us       0.000us        1.831s         4.53%        1.831s     675.328us          2712  
                                           aten::matmul         0.06%      27.546ms         9.34%        4.594s     833.283us       0.000us         0.00%        1.628s     295.282us          5513  
                                              aten::bmm         0.23%     111.424ms         5.65%        2.776s     504.804us        1.460s         3.61%        1.587s     288.511us          5499  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.153s         2.85%        1.153s     285.978us          4032  
                                             aten::add_         0.04%      18.220ms         3.27%        1.605s     298.638us     921.482ms         2.28%     999.001ms     185.826us          5376  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     921.482ms         2.28%     921.482ms     171.407us          5376  
                hc_prenorm_gemm_block_m_tilelang_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     625.026ms         1.55%     625.026ms       3.698ms           169  
                                             aten::mul_         0.04%      20.424ms         0.49%     238.739ms      43.250us     550.210ms         1.36%     600.302ms     108.750us          5520  
                                       cudaLaunchKernel         4.61%        2.265s        17.34%        8.527s     258.345us       0.000us         0.00%     585.367ms      17.734us         33008  
                                    Command Buffer Full        10.76%        5.292s        10.76%        5.292s     774.010us     574.027ms         1.42%     574.027ms      83.959us          6837  
                                            aten::relu_         0.02%       8.329ms         0.53%     258.339ms      48.054us       0.000us         0.00%     558.202ms     103.832us          5376  
                                       aten::clamp_min_         0.04%      21.432ms         0.51%     250.010ms      46.505us     512.133ms         1.27%     558.202ms     103.832us          5376  
