
=== T=16384 ===
  BM   BN   BK   BH NS  ms/layer   tok/s
  64   64   64   64  2     199.3    1912
  64   64   64   64  3     203.2    1875
  64   64   64  128  2     225.9    1687
  64   64   64  128  3     230.2    1655
  64   64  128   64  2     258.0    1477
  64   64  128   64  3     261.3    1458
  64   64  128  128  2    1741.8     219
  64   64  128  128  3    1934.0     197
  64  128   64   64  2     207.1    1840
  64  128   64   64  3     211.8    1799
  64  128   64  128  2     233.8    1630
  64  128   64  128  3     236.6    1611
  64  128  128   64  2     271.8    1402
  64  128  128   64  3     264.2    1442
  64  128  128  128  2    1753.2     217
  64  128  128  128  3    1936.2     197
  64  256   64   64  2     248.7    1532
  64  256   64   64  3     256.5    1485
  64  256   64  128  2     274.3    1389
  64  256   64  128  3     279.7    1362
  64  256  128   64  2    1342.7     284
  64  256  128   64  3     557.1     684
  64  256  128  128  2    2826.0     135
  64  256  128  128  3    2229.2     171
 128   64   64   64  2     199.5    1910
 128   64   64   64  3     206.2    1848
 128   64   64  128  2     204.4    1864
 128   64   64  128  3     214.3    1778
 128   64  128   64  2    1558.5     244
 128   64  128   64  3    1961.0     194
 128   64  128  128  2    1456.7     262
 128   64  128  128  3    1493.0     255
 128  128   64   64  2     208.9    1824
 128  128   64   64  3     219.4    1737
 128  128   64  128  2     213.3    1786
 128  128   64  128  3     226.7    1681
 128  128  128   64  2    2482.1     154
 128  128  128   64  3    3034.4     126
 128  128  128  128  2    2378.4     160
 128  128  128  128  3    2567.2     148
 128  256   64   64  2    1434.2     266
 128  256   64   64  3    1560.1     244
 128  256   64  128  2    1438.4     265
 128  256   64  128  3    1569.0     243
 128  256  128   64  2    2906.2     131
 128  256  128   64  3    3309.5     115
 128  256  128  128  2    2812.5     135
 128  256  128  128  3    2966.0     128
BEST T=16384: 199.3 ms  cfg(BM,BN,BK,BH,NS)=(64, 64, 64, 64, 2)
